Cluster ID,confidence_score,Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2
0,0.7986240958649079,2,cps_early_childhood_portal_scrape.csv,national louis university - dr. effie o. ellis training center,10 s kedzie ave,,5339011,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
0,0.7986240958649079,3,cps_early_childhood_portal_scrape.csv,national louis university - dr. effie o. ellis training center,10 s kedzie ave,,5339011,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
0,0.7986240958649079,511,cps_early_childhood_portal_scrape.csv,national louis university - dr. effie o. ellis training center,10 s kedzie ave,,5339011,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
0,0.7986240958649079,512,cps_early_childhood_portal_scrape.csv,national louis university - dr. effie o. ellis training center,10 s kedzie ave,,5339011,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
0,0.7986240958649079,1227,cps_early_childhood_portal_scrape.csv,national louis university - dr. effie o. ellis training center,10 s kedzie ave,,5339011,,state pre-kindergarten,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
0,0.7986240958649079,1228,cps_early_childhood_portal_scrape.csv,national louis university - dr. effie o. ellis training center,10 s kedzie ave,,5339011,,state pre-kindergarten,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
1,0.7986240958649079,44,cps_early_childhood_portal_scrape.csv,el valor - little tykes i,1711 w 35th st,,2547700,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
1,0.7986240958649079,45,cps_early_childhood_portal_scrape.csv,el valor - little tykes i,1711 w 35th st,,2547700,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
1,0.7986240958649079,591,cps_early_childhood_portal_scrape.csv,el valor - little tykes i,1711 w 35th st,,2547700,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
1,0.7986240958649079,592,cps_early_childhood_portal_scrape.csv,el valor - little tykes i,1711 w 35th st,,2547700,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
2,0.698386277647846,49,cps_early_childhood_portal_scrape.csv,el valor - little tykes ii,1723 w 35th st,,5791791,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
2,0.698386277647846,50,cps_early_childhood_portal_scrape.csv,el valor - little tykes ii,1723 w 35th st,,5791791,,child care,extended day,,,,,,,,,,,,,,,,,,,,,,,
2,0.698386277647846,595,cps_early_childhood_portal_scrape.csv,el valor - little tykes ii,1723 w 35th st,,5791791,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
2,0.698386277647846,596,cps_early_childhood_portal_scrape.csv,el valor - little tykes ii,1723 w 35th st,,5791791,,head start,half day/full day,,,,,,,,,,,,,,,,,,,,,,,
